property_id,title,price,location,bedrooms,bathrooms,area,property_type,furnished,description,amenities,agent_name,phone,parking,floor,building_age,url
%D9%81%D9%8A%D9%84%D8%A7-%D8%B1%D8%A7%D9%82%D9%8A%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B9%D8%A8%D9%8A%D9%84%D8%A9-villa-for-rent-ID127911504.html,فيلا راقية جديدة للايجار في المعبيلة  villa for rent,OMR 500,فيلا راقية جديدة للايجار في المعبيلة  villa for rent - Villas for Rent - 127911504,6,7,408,,No,للإيجار فيلا في جميلة في المعبيلة الجنوبية ADV141** AL SEEB Sour Al Hadeed 3BHK + MAID'S villa for rent Villa for Rent Maabelah,,,,Maids Room,,,https://www.dubizzle.com.om/en/ad/%D9%81%D9%8A%D9%84%D8%A7-%D8%B1%D8%A7%D9%82%D9%8A%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B9%D8%A8%D9%8A%D9%84%D8%A9-villa-for-rent-ID127911504.html
%D9%85%D8%AD%D9%84-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81-%D8%A7%D9%84%D8%AE%D9%88%D8%B6-%D8%A7%D9%84%D8%B3%D8%A7%D8%AF%D8%B3%D9%87-%D9%82%D8%B1%D9%8A%D8%A8-%D9%85%D9%86-%D8%AC%D9%85%D9%8A%D8%B9-%D8%A7%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D9%85%D9%88%D9%82%D8%B9-%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A-%D9%85%D9%85%D9%8A%D8%B2-ID130464514.html,محل للايجار ف الخوض السادسه قريب من جميع الخدمات موقع تجاري مميز,OMR 160,محل للايجار ف الخوض السادسه قريب من جميع الخدمات موقع تجاري مميز - Commercial for Rent - 130464514,,,16,,No,محل ف الحيل الجنوبيه خلف ستاذ السيب للايجار محلات ف موقع متميز ف الخوض السابعه بجوار فيفا هايبر ماركت محلات للايجار في موقع مميز بالموالح 11 shop for rent in Al Mawaleh 11,,,(View phone number),,,,https://www.dubizzle.com.om/en/ad/%D9%85%D8%AD%D9%84-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81-%D8%A7%D9%84%D8%AE%D9%88%D8%B6-%D8%A7%D9%84%D8%B3%D8%A7%D8%AF%D8%B3%D9%87-%D9%82%D8%B1%D9%8A%D8%A8-%D9%85%D9%86-%D8%AC%D9%85%D9%8A%D8%B9-%D8%A7%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D9%85%D9%88%D9%82%D8%B9-%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A-%D9%85%D9%85%D9%8A%D8%B2-ID130464514.html
qurum-6-br-compound-villa-ID129807257.html,QURUM | 6 BR COMPOUND VILLA,OMR 650,QURUM | 6 BR COMPOUND VILLA - Villas for Rent - 129807257,6,6,300,,No,Elegant 4 BHK Villa for rent @ Qurum amazing  house in Madinat sultan near Pizza hut 3+1 BHK Spacious Villa for Rent in Madina Qaboos -PPV285,,,(View phone number),,,,https://www.dubizzle.com.om/en/ad/qurum-6-br-compound-villa-ID129807257.html
qurum-spacious-6-br-compound-villa-ID129865691.html,QURUM | SPACIOUS 6 BR COMPOUND VILLA,"OMR 1,000",QURUM | SPACIOUS 6 BR COMPOUND VILLA - Villas for Rent - 129865691,6,5,300,,No,3+1 BHK Spacious Villa for Rent in Madina Qaboos -PPV285 ADV905*4BHK Villa for rent in Madinat Illam in a complex 4+1 Bedrooms Villa for Rent in Shatti Al Qurum PPV284,,,(View phone number),,,,https://www.dubizzle.com.om/en/ad/qurum-spacious-6-br-compound-villa-ID129865691.html
bosher-brand-new-31-br-townhouses-ID130013877.html,BOSHER | BRAND NEW 3+1 BR TOWNHOUSES,OMR 850,BOSHER | BRAND NEW 3+1 BR TOWNHOUSES - Villas for Rent - 130013877,3,4,300,,No,3+1 BHK Spacious Villa for Rent in Madina Qaboos -PPV285 *ADV705** 3+1 BHK Villa for Rent in Bousher –Al Muna 4 BR + Maid’s Room Spacious Well-Designed Villa in Azaiba,,,(View phone number),Maids Room,(View phone number),,https://www.dubizzle.com.om/en/ad/bosher-brand-new-31-br-townhouses-ID130013877.html
3187-s-qm-shop-in-azaiba-commercial-use-excellent-location-ID130475655.html,31.87 S	QM Shop in Azaiba – Commercial Use – Excellent Location,OMR 480,31.87 S	QM Shop in Azaiba – Commercial Use – Excellent Location - Commercial for Rent - 130475655,,,31.87,,No,71 SQM Office Space FOR RENT Bausher facing Mall of Oman MPC28-A Corner Commercial Shop Spaces for Rent in Bousher MPC16 ADC501**115 SQM  Office for rent in Al Azaibah south,,,,Storage,,,https://www.dubizzle.com.om/en/ad/3187-s-qm-shop-in-azaiba-commercial-use-excellent-location-ID130475655.html
budget-friendly-fully-furnished-serviced-offices-for-rent-al-khuwair-ID129535534.html,BUDGET FRIENDLY FULLY FURNISHED SERVICED OFFICES FOR RENT - AL KHUWAIR,OMR 100,BUDGET FRIENDLY FULLY FURNISHED SERVICED OFFICES FOR RENT - AL KHUWAIR - Commercial for Rent - 129535534,,,10,,Yes,25Sqm Shop in almarat (B7820) Shop for rent in AMRAT AL MAHAJ العامرات المحج,,,(View phone number),,,,https://www.dubizzle.com.om/en/ad/budget-friendly-fully-furnished-serviced-offices-for-rent-al-khuwair-ID129535534.html
brand-new-fuly-firnished-office-spaces-for-rent-al-khuwair-ID109489392.html,BRAND NEW FULY FIRNISHED OFFICE SPACES FOR RENT - AL KHUWAIR !!,OMR 250,BRAND NEW FULY FIRNISHED OFFICE SPACES FOR RENT - AL KHUWAIR !! - Commercial for Rent - 109489392,,,60,,Yes,محلات للايجار في العامرات 7 SQM Fully Furnished Office in Qurum – All-Inclusive commercial advertisement,,,(View phone number),,,,https://www.dubizzle.com.om/en/ad/brand-new-fuly-firnished-office-spaces-for-rent-al-khuwair-ID109489392.html
all-inclusive-serviced-office-spaces-for-rent-al-khuwair-bait-eteen-ID109595611.html,All Inclusive Serviced Office Spaces for Rent - Al Khuwair Bait Eteen,OMR 150,All Inclusive Serviced Office Spaces for Rent - Al Khuwair Bait Eteen - Commercial for Rent - 109595611,,,10,,Yes,الخوير العامرات المحج Furnished Office for Rent Avenues Mall Ghoubra مكتب للإيجار في الغبرة,,,(View phone number),,,,https://www.dubizzle.com.om/en/ad/all-inclusive-serviced-office-spaces-for-rent-al-khuwair-bait-eteen-ID109595611.html
luxury-office-spaces-at-affordable-prices-now-for-rent-ID130477685.html,LUXURY OFFICE SPACES AT AFFORDABLE PRICES NOW FOR RENT!,OMR 250,LUXURY OFFICE SPACES AT AFFORDABLE PRICES NOW FOR RENT! - Commercial for Rent - 130477685,,,15,,Yes,محلات للايجار في العامرات 7 SQM Fully Furnished Office in Qurum – All-Inclusive commercial advertisement,,,(View phone number),,,,https://www.dubizzle.com.om/en/ad/luxury-office-spaces-at-affordable-prices-now-for-rent-ID130477685.html
beautiful-and-spacious-villa-in-mabelah-for-rent-ID129551947.html,beautiful And spacious villa in Mabelah for rent,OMR 800,beautiful And spacious villa in Mabelah for rent - Villas for Rent - 129551947,9,12,400,,No,standalone personla house semi furnished near beach sur Al hadid 3 + 1 Fully Furnished Villa for Rent in Al Khoud with Garden & Pool Brand New Spacious 5 BHK Villa for Rent – Seeb,,,(View phone number),,,,https://www.dubizzle.com.om/en/ad/beautiful-and-spacious-villa-in-mabelah-for-rent-ID129551947.html
%D9%85%D8%AD%D9%84%D8%A7%D8%AA-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D9%85%D9%88%D9%82%D8%B9-%D9%85%D9%85%D9%8A%D8%B2-%D8%A8%D8%A7%D9%84%D9%85%D9%88%D8%A7%D9%84%D8%AD-11-shop-for-rent-in-al-mawaleh-11-ID129464139.html,محلات للايجار في موقع مميز بالموالح 11 shop for rent in Al Mawaleh 11,OMR 200,محلات للايجار في موقع مميز بالموالح 11 shop for rent in Al Mawaleh 11 - Commercial for Rent - 129464139,,,29.6,,No,محل للايجار ف الخوض السادسه قريب من جميع الخدمات موقع تجاري مميز 2-Desk Modern Business Centre Offices in Muscat Hills محل ف الحيل الجنوبيه خلف ستاذ السيب,,,(View phone number),,,,https://www.dubizzle.com.om/en/ad/%D9%85%D8%AD%D9%84%D8%A7%D8%AA-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D9%85%D9%88%D9%82%D8%B9-%D9%85%D9%85%D9%8A%D8%B2-%D8%A8%D8%A7%D9%84%D9%85%D9%88%D8%A7%D9%84%D8%AD-11-shop-for-rent-in-al-mawaleh-11-ID129464139.html
villa-for-rent-near-crowne-plaza-4-bedrooms-ID130481129.html,VILLA FOR RENT NEAR CROWNE PLAZA 4 BEDROOMS,"OMR 3,000",VILLA FOR RENT NEAR CROWNE PLAZA 4 BEDROOMS - Villas for Rent - 130481129,4,6,"1,436",,No,QURM | PALATIAL 5+2 BR VILLA MADINAT AL ILAM | LUXURIOUS 7+2 BR VILLA FOR RENT 8+2 BD |  Standalone  | Lift,,,,Maids Room,,,https://www.dubizzle.com.om/en/ad/villa-for-rent-near-crowne-plaza-4-bedrooms-ID130481129.html
studio-room-near-al-mouj-free-wifi-ID120787662.html,Studio room near Al Mouj free wifi,OMR 150,Studio room near Al Mouj free wifi - Rooms for Rent - 120787662,1,1,45,,No,غرف للشباب الموالح الجنوبيه شامله المياه والكهرباء والانترنت ملحق للايجار A studio on a separate floor with a kitchen and a rooftop,,,,,,,https://www.dubizzle.com.om/en/ad/studio-room-near-al-mouj-free-wifi-ID120787662.html
adc701shop-for-rent-in-new-commercial-building-150-sqm-ID130482895.html,ADC701***Shop for Rent in New Commercial Building – 150 SQM,"OMR 1,250",ADC701***Shop for Rent in New Commercial Building – 150 SQM - Commercial for Rent - 130482895,,,150,,No,140 SQ M Office Space in Prime Location – Bausher 77 SQM Brand New Retail Shop at The Gate on November 18th Street 400 SQM Office Space in Bausher (Behind Al Ameen Mosque),,,,,,,https://www.dubizzle.com.om/en/ad/adc701shop-for-rent-in-new-commercial-building-150-sqm-ID130482895.html
adv4075bhk-brand-new-villa-in-a-complex-in-al-hail-south-ID129958085.html,ADV407**5BHK brand new villa in a complex in al hail south,OMR 550,ADV407**5BHK brand new villa in a complex in al hail south - Villas for Rent - 129958085,5,6,325,Negotiable,No,standalone house in Hail south near road open plan house modern design  near Muzun and Wave ADV141** AL SEEB Sour Al Hadeed 3BHK + MAID'S villa for rent,,,(View phone number),Security,(View phone number),,https://www.dubizzle.com.om/en/ad/adv4075bhk-brand-new-villa-in-a-complex-in-al-hail-south-ID129958085.html
ada602-2-bedrooms-apartments-for-rent-in-khuwair-ID128629843.html,ADA602** 2 Bedrooms apartments for rent in Khuwair,OMR 350,ADA602** 2 Bedrooms apartments for rent in Khuwair - Apartments for Rent - 128629843,2,3,110,,No,استوديو كبير غرفه وحمام ومطبخ مفروشه 2BHK Apartment FOR RENT in Al Qurum Park View Bldg. PPA55 1 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum,,,(View phone number),Security,,,https://www.dubizzle.com.om/en/ad/ada602-2-bedrooms-apartments-for-rent-in-khuwair-ID128629843.html
54-sqm-office-for-rent-in-muscat-hills-ID130473965.html,54 SQM Office for Rent in Muscat Hills,OMR 297,54 SQM Office for Rent in Muscat Hills - Commercial for Rent - 130473965,,,54,,No,52 SQM Office Space in Muscat Hills – Good Location 2-Desk Modern Business Centre Offices in Muscat Hills 3 months free- Smart office for rent in Muscat Pavilion Muscat Hills,,,,Security,,,https://www.dubizzle.com.om/en/ad/54-sqm-office-for-rent-in-muscat-hills-ID130473965.html
1-br-1-bedroom-brand-new-apartment-in-shatti-al-qurum-ID130386132.html,1 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum,OMR 400,1 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum - Apartments for Rent - 130386132,1,2,89,,No,3 BR Elegant Apartment – Ruwi (1 Month Free) 2BHK Apartment FOR RENT in Al Qurum Park View Bldg. PPA55 2BHK Apartment FOR RENT in Qurum PPA62,,,,,,,https://www.dubizzle.com.om/en/ad/1-br-1-bedroom-brand-new-apartment-in-shatti-al-qurum-ID130386132.html
2-br-1-bedroom-brand-new-apartment-in-shatti-al-qurum-ID130487280.html,2 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum,OMR 525,2 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum - Apartments for Rent - 130487280,2,3,119,,No,3 BR Elegant Apartment – Ruwi (1 Month Free) 2BHK Apartment FOR RENT in Al Qurum Park View Bldg. PPA55 1 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum,,,,,,,https://www.dubizzle.com.om/en/ad/2-br-1-bedroom-brand-new-apartment-in-shatti-al-qurum-ID130487280.html
2-br-fully-furnished-apartment-in-juman-two-al-mouj-with-amenities-ID130273117.html,"2 BR Fully Furnished Apartment in Juman Two, Al Mouj - with Amenities","OMR 1,250","2 BR Fully Furnished Apartment in Juman Two, Al Mouj - with Amenities - Apartments for Rent - 130273117",2,3,109,,Yes,2 BR Incredible Brand New Marina View Apartment in Al Mouj – Juman 2 Luxury Apartment for Rent in Al Mouj 2 BR Ground Floor Brand New Flat in Juman 2 with Garden,,,,Security,,,https://www.dubizzle.com.om/en/ad/2-br-fully-furnished-apartment-in-juman-two-al-mouj-with-amenities-ID130273117.html
2-br-beautiful-apartment-with-panoramic-views-muscat-hills-ID130487287.html,2 BR Beautiful Apartment with Panoramic Views – Muscat Hills,OMR 430,2 BR Beautiful Apartment with Panoramic Views – Muscat Hills - Apartments for Rent - 130487287,2,2,119,,No,Luxury 1 bedroom apartment in Muscat Hills (fully furnished with a nic Amazing Fully Furnished 1BHK Flat for Rent in Muscat Hills PPA178 SR-MO-750 Ground floor flat to let in mawaleh south,,,,Security,,,https://www.dubizzle.com.om/en/ad/2-br-beautiful-apartment-with-panoramic-views-muscat-hills-ID130487287.html
4-br-maids-room-spacious-well-designed-villa-in-azaiba-ID130440803.html,4 BR + Maid’s Room Spacious Well-Designed Villa in Azaiba,OMR 750,4 BR + Maid’s Room Spacious Well-Designed Villa in Azaiba - Villas for Rent - 130440803,4,5,439,,Yes,amazing  house in Madinat sultan near Pizza hut 3+1 BHK Spacious Villa for Rent in Madina Qaboos -PPV285 *ADV705** 3+1 BHK Villa for Rent in Bousher –Al Muna,,,,Maids Room,,,https://www.dubizzle.com.om/en/ad/4-br-maids-room-spacious-well-designed-villa-in-azaiba-ID130440803.html
adv705-31-bhk-villa-for-rent-in-bousher-al-muna-ID129637250.html,*ADV705** 3+1 BHK Villa for Rent in Bousher –Al Muna,OMR 650,*ADV705** 3+1 BHK Villa for Rent in Bousher –Al Muna - Villas for Rent - 129637250,3,4,350,,No,amazing  house in Madinat sultan near Pizza hut 3+1 BHK Spacious Villa for Rent in Madina Qaboos -PPV285 4 BR + Maid’s Room Spacious Well-Designed Villa in Azaiba,,,(View phone number),Maids Room,,,https://www.dubizzle.com.om/en/ad/adv705-31-bhk-villa-for-rent-in-bousher-al-muna-ID129637250.html
adc507-office-space-in-azaiba-440-sqm-for-rent-ID129639367.html,ADC507*** Office Space in Azaiba – 440 sqm for Rent*,"OMR 2,310",ADC507*** Office Space in Azaiba – 440 sqm for Rent* - Commercial for Rent - 129639367,,,440,,,معرض تجاري بالعذيبة للإيجار 350 SQM Great Office Spaces in Azaiba 440 SQM Great Office Spaces in Azaiba,,,(View phone number),Security,,,https://www.dubizzle.com.om/en/ad/adc507-office-space-in-azaiba-440-sqm-for-rent-ID129639367.html
adv9064bhk-villa-in-a-comples-in-shatti-qurum-ID130363228.html,ADV906**4BHK Villa in a comples in shatti qurum,"OMR 1,900",ADV906**4BHK Villa in a comples in shatti qurum - Villas for Rent - 130363228,4,4,300,,No,"5 BHK Villa for Rent in Madinat Al Ilam WA 76324666 LRV55_1 MQ | BEAUTIFUL 5 COMMUNITY TOWNHOUSE 5 BR + Maid’s Room Brand New Villa – MSQ, Near Pakistani Embassy",,,,Maids Room,,,https://www.dubizzle.com.om/en/ad/adv9064bhk-villa-in-a-comples-in-shatti-qurum-ID130363228.html
