Title,Price,Bedrooms,Bathrooms,Area,Location,Property_Type
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat",500,2.0,2.0,120 Sq. M.,"Al Ghubrah, Muscat",Apartment
"2 Bedrooms Apartment For Rent Bosher, Muscat",250,2.0,2.0,100 Sq. M.,"Bosher, Muscat",Apartment
"2 Bedroom Apartment For Rent Bosher, Muscat",495,2.0,2.0,109 Sq. M.,"Bosher, Muscat",Apartment
"1 Bedroom Apartment For Rent Ruwi, Muscat",150,1.0,1.0,70 Sq. M.,"Ruwi, Muscat",Apartment
"1 Bedroom Apartment For Rent Al Hail, Muscat",300,1.0,2.0,100 Sq. M.,"Al Hail, Muscat",Apartment
"3 Bedrooms Villa For Rent Qurum, Muscat",750,3.0,4.0,300 Sq. M.,"Qurum, Muscat",Villa
"4 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat",950,4.0,5.0,300 Sq. M.,"Qurum, Muscat",Villa
"2 Bedrooms Apartment For Rent in Al Hamriyah, Muscat",250,2.0,3.0,100 Sq. M.,"Al Hamriyah, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Wadi Al Kabir, Muscat",230,2.0,2.0,100 Sq. M.,"Al Wadi Al Kabir, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Mawaleh, Muscat",250,2.0,3.0,100 Sq. M.,"Al Mawaleh, Muscat",Apartment
"1 Bedroom Apartment For Rent in Bosher, Muscat",450,1.0,3.0,120 Sq. M.,"Al Ghubrah, Muscat",Apartment
"1 Bedroom Apartment For Rent Madinat As Sultan Qaboos, Muscat",360,1.0,1.0,100 Sq. M.,"Qurum, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat",270,2.0,2.0,105 Sq. M.,"Al Khuwair, Muscat",Apartment
4 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,800,4.0,5.0,700 Sq. M.,"Qurum, Muscat",Villa
"6 Bedrooms Villa For Rent in Madinat As Sultan Qaboos, Muscat",1300,6.0,8.0,488 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
"5 Bedroom Villa For Rent in Qurum, Muscat",800,5.0,5.0,399 Sq. M.,"Qurum, Muscat",Villa
"5 Bedrooms Villa For Rent Qurum, Muscat",1000,5.0,6.0,450 Sq. M.,"Qurum, Muscat",Villa
"4 Bedrooms Villa For Rent Qurum, Muscat",700,4.0,5.0,450 Sq. M.,"Qurum, Muscat",Villa
"3 Bedroom Villa For Rent in Qurum, Muscat",1800,3.0,5.0,350 Sq. M.,"Qurum, Muscat",Villa
4 Bedrooms Villa For Rent Qurum Muscat,2600,4.0,5.0,648 Sq. M.,"Qurum, Muscat",Villa
"4 Bedrooms Villa For Rent Qurum, Muscat",1800,4.0,4.0,300 Sq. M.,"Qurum, Muscat",Villa
"6 Bedrooms Villa For Rent Azaiba, Muscat",1000,6.0,6.0,600 Sq. M.,"Azaiba, Muscat",Villa
"5 Bedrooms Villa For Rent Al Mawaleh, Muscat",700,5.0,5.0,459 Sq. M.,"Al Mawaleh, Muscat",Villa
"12 Bedroom Villa For Rent in Al Mawaleh, Muscat",3500,12.0,12.0,711 Sq. M.,"Al Mawaleh, Muscat",Villa
"6 Bed Villa For Rent Bosher, Muscat",950,6.0,6.0,650 Sq. M.,"Bosher, Muscat",Villa
"4 Bedrooms Apartment For Rent Al Mawaleh, Muscat",450,4.0,4.0,359 Sq. M.,"Al Mawaleh, Muscat",Apartment
"2 Bedroom Apartment For Rent in Ruwi, Muscat",180,2.0,2.0,166 Sq. M.,"Ruwi, Muscat",Apartment
"6-Bedroom Villa For Rent in Qurum, Muscat",1000,6.0,4.0,300 Sq. M.,"Qurum, Muscat",Villa
5 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,1400,5.0,7.0,300 Sq. M.,"Qurum, Muscat",Villa
2 Bedrooms Apartment For Rent Muscat (The Wave (Almouj)),1150,2.0,3.0,109 Sq. M.,"Qurum, Muscat",Apartment
"1 Bedroom Apartment For Rent Bosher, Muscat",395,1.0,2.0,60 Sq. M.,"Bosher, Muscat",Apartment
"2 Bedroom Apartment For Rent in Ruwi, Muscat",250,2.0,2.0,109 Sq. M.,"Ruwi, Muscat",Apartment
"6 Bedrooms Villa For Rent in Qurum, Muscat",1500,6.0,7.0,485 Sq. M.,"Qurum, Muscat",Villa
"6 Bedrooms Villa For Rent in Madinat As Sultan Qaboos, Muscat",1500,6.0,5.0,465 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
"2 Bedroom Apartment For Rent Ruwi, Muscat",200,2.0,2.0,110 Sq. M.,"Ruwi, Muscat",Apartment
"2 Bedroom Apartment For Rent Muscat Hills, Muscat",500,2.0,2.0,106 Sq. M.,"Muscat Hills, Muscat",Apartment
"4 Bedrooms Villa For Rent Al Hail, Muscat",630,4.0,4.0,250 Sq. M.,"Al Hail, Muscat",Villa
"1 Bedroom Apartment For Rent Al Khuwair, Muscat",225,1.0,2.0,59 Sq. M.,"Al Khuwair, Muscat",Apartment
"2 Bedrooms Apartment For Rent The Wave (Almouj), Muscat",1250,2.0,2.0,109 Sq. M.,"Qurum, Muscat",Apartment
"4 Bedroom Villa For Rent Al Ghubrah, Muscat",900,4.0,5.0,309 Sq. M.,"Al Ghubrah, Muscat",Villa
"1 Bedroom Apartment For Rent in Bosher, Muscat",440,1.0,3.0,67 Sq. M.,"Bosher, Muscat",Apartment
3 Bedrooms Apartment For Rent Ruwi Muscat,380,3.0,3.0,253 Sq. M.,"Ruwi, Muscat",Apartment
"2 Bedroom Apartment For Rent in Madinat As Sultan Qaboos, Muscat",700,2.0,3.0,300 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Apartment
"2 Bedrooms Apartment For Rent in Muscat Hills, Muscat",550,2.0,3.0,115 Sq. M.,"Muscat Hills, Muscat",Apartment
"1 Bedroom Apartment For Rent in Al Khuwair, Muscat",200,1.0,1.0,90 Sq. M.,"Al Khuwair, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Mawaleh, Muscat",180,2.0,2.0,100 Sq. M.,"Al Mawaleh, Muscat",Apartment
2 Bedrooms Apartment For Rent Al Seeb - Muscat,190,2.0,3.0,78 Sq. M.,"Al Seeb, Muscat",Apartment
5 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,599,5.0,5.0,300 Sq. M.,"Qurum, Muscat",Villa
"2 Bedrooms Apartment For Rent Muscat Hills, Muscat",950,2.0,2.0,10 Sq. M.,"Qurum, Muscat",Apartment
"5 Bedroom Villa For Rent in Al Hail, Muscat",600,5.0,6.0,300 Sq. M.,"Al Hail, Muscat",Villa
"2 Bedroom Apartment For Rent in Al Ghubrah, Muscat",400,2.0,2.0,105 Sq. M.,"Al Ghubrah, Muscat",Apartment
"3 Bedroom Villa For Rent in Bosher, Muscat",850,3.0,4.0,297 Sq. M.,"Bosher, Muscat",Villa
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat",625,2.0,3.0,112 Sq. M.,"Al Ghubrah, Muscat",Apartment
"2 Bedroom Apartment For Rent Ruwi, Muscat",200,2.0,2.0,107 Sq. M.,"Ruwi, Muscat",Apartment
"1 Bedroom Apartment For Rent Al Ghubrah, Muscat",180,1.0,1.0,85 Sq. M.,"Al Ghubrah, Muscat",Apartment
"4 Bedroom Villa For Rent Madinat As Sultan Qaboos, Muscat",950,4.0,5.0,409 Sq. M.,"Qurum, Muscat",Villa
"3 Bedrooms Apartment For Rent Al Hail, Muscat",350,3.0,3.0,138 Sq. M.,"Al Hail, Muscat",Apartment
"3 Bedroom Villa For Rent Qurum, Muscat",750,3.0,4.0,300 Sq. M.,"Qurum, Muscat",Villa
"8 Bedroom Villa For Rent Madinat As Sultan Qaboos, Muscat",2500,8.0,9.0,500 Sq. M.,"Qurum, Muscat",Villa
"5 Bedroom Villa For Rent in Azaiba, Muscat",625,5.0,5.0,355 Sq. M.,"Azaiba, Muscat",Villa
"1 Bedroom Chalet For Rent in Al Mawaleh, Muscat",50,1.0,1.0,200 Sq. M.,"Al Mawaleh, Muscat",Other
"4 Bedroom Villa For Rent in Qurum, Muscat",950,4.0,5.0,235 Sq. M.,"Qurum, Muscat",Villa
"5 Bedroom Villa For Rent in Qurum, Muscat",1200,5.0,6.0,444 Sq. M.,"Qurum, Muscat",Villa
3 Bedrooms Villa For Rent Qurum Muscat,1200,3.0,3.0,350 Sq. M.,"Qurum, Muscat",Villa
"1 Bedroom Apartment For Rent in Al Amarat, Muscat",100,1.0,2.0,59 Sq. M.,"Al Amarat, Muscat",Apartment
1 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),600,1.0,1.0,82 Sq. M.,"Qurum, Muscat",Apartment
2 Bedrooms Apartment For Rent Al Ghubrah Muscat,275,2.0,2.0,120 Sq. M.,"Al Ghubrah, Muscat",Apartment
2 Bedrooms Apartment For Rent Muscat (The Wave (Almouj)),1200,2.0,3.0,109 Sq. M.,"Qurum, Muscat",Apartment
1 Bedroom Apartment For Rent Muscat The Wave (Almouj),600,1.0,2.0,63 Sq. M.,"Qurum, Muscat",Apartment
"4 Bedroom Apartment For Rent in The Wave (Almouj), Muscat",1900,4.0,4.0,10 Sq. M.,"The Wave (Almouj), Muscat",Apartment
"1 Bedroom Apartment For Rent Salalah, Dhofar",50,1.0,1.0,53 Sq. M.,"Salalah, Dhofar",Apartment
"2 Bedroom Apartment For Rent in Al Khuwair, Muscat",350,2.0,2.0,110 Sq. M.,"Al Khuwair, Muscat",Apartment
"3 Bedroom Apartment For Rent Ruwi, Muscat",550,3.0,4.0,200 Sq. M.,"Ruwi, Muscat",Apartment
"4-Bedroom Villa For Rent in Al Mawaleh, Muscat",1200,4.0,5.0,220 Sq. M.,"Al Mawaleh, Muscat",Villa
"2 Bedrooms Apartment For Rent Ruwi, Muscat",130,2.0,2.0,100 Sq. M.,"Ruwi, Muscat",Apartment
"2 Bedroom Apartment For Rent in Al Wadi Al Kabir, Muscat",325,2.0,2.0,110 Sq. M.,"Al Wadi Al Kabir, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Wadi Al Kabir, Muscat",190,2.0,2.0,90 Sq. M.,"Al Wadi Al Kabir, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat",275,2.0,2.0,89 Sq. M.,"Al Khuwair, Muscat",Apartment
1 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),1350,1.0,2.0,140 Sq. M.,"Qurum, Muscat",Apartment
1 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),1350,1.0,2.0,143 Sq. M.,"Qurum, Muscat",Apartment
"3 Bedroom Apartment For Rent in Qurum, Muscat",220,3.0,3.0,165 Sq. M.,"Qurum, Muscat",Apartment
"4 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",800,4.0,4.0,500 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
2 Bedroom Apartment For Rent The Wave (Almouj) Muscat,1150,2.0,3.0,113 Sq. M.,"Qurum, Muscat",Apartment
5 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,900,5.0,6.0,400 Sq. M.,"Qurum, Muscat",Villa
"1 Bedroom Apartment For Rent Bosher, Muscat",320,1.0,2.0,77 Sq. M.,"Bosher, Muscat",Apartment
1 Bedroom Apartment For Rent Al Khuwair Muscat,160,1.0,1.0,24 Sq. M.,"Al Khuwair, Muscat",Apartment
Land For Rent Misfah Muscat,420,,,420 Sq. M.,"Misfah, Muscat",Other
"5 Bedrooms Villa For Rent Al Khoud, Muscat",500,5.0,6.0,300 Sq. M.,"Al Khoud, Muscat",Villa
"2 Bedroom Chalet For Rent in Al Amarat, Muscat",50,2.0,2.0,800 Sq. M.,"Al Amarat, Muscat",Other
"2 Bedrooms Apartment For Rent Al Hail, Muscat",390,2.0,2.0,100 Sq. M.,"Al Hail, Muscat",Apartment
"5 Bedrooms Villa For Rent Azaiba, Muscat",1000,5.0,6.0,10 Sq. M.,"Azaiba, Muscat",Villa
2 Bedroom Apartment For Rent Muscat (The Wave - Almouj),900,2.0,3.0,119 Sq. M.,"Qurum, Muscat",Apartment
"4 Bedroom Villa For Rent Madinat As Sultan Qaboos, Muscat",725,4.0,7.0,300 Sq. M.,"Qurum, Muscat",Villa
"3 Bedrooms Apartment For Rent Al Hail, Muscat",300,3.0,4.0,240 Sq. M.,"Al Hail, Muscat",Apartment
"3 Bedroom Chalet For Rent in Bidiya, Al Sharqiya",50,3.0,4.0,150 Sq. M.,"Bidiya, Al Sharqiya",Other
"5 Bedrooms Villa For Rent Al Hail, Muscat",755,5.0,7.0,400 Sq. M.,"Al Hail, Muscat",Villa
"1 Bedroom Apartment For Rent Al Khuwair, Muscat",210,1.0,2.0,59 Sq. M.,"Al Khuwair, Muscat",Apartment
"3 Bedroom Apartment For Rent in Al Hail, Muscat",600,3.0,3.0,300 Sq. M.,"Al Hail, Muscat",Apartment
"2 Bedrooms Apartment For Rent in Azaiba, Muscat",350,2.0,2.0,100 Sq. M.,"Azaiba, Muscat",Apartment
"9 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",1899,9.0,9.0,846 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
"5 Bedrooms Villa For Rent in Qantab, Muscat",1750,5.0,6.0,350 Sq. M.,"Qantab, Muscat",Villa
"5 Bedroom Villa For Rent in Qantab, Muscat",1750,5.0,6.0,500 Sq. M.,"Qantab, Muscat",Villa
2 Bedroom Apartment For Rent The Wave (Almouj) Muscat,700,2.0,2.0,75 Sq. M.,"Qurum, Muscat",Apartment
"5 Bedroom Villa For Rent Darsait, Muscat",400,5.0,6.0,315 Sq. M.,"Darsait, Muscat",Villa
"5 Bedroom Villa For Rent Azaiba, Muscat",1000,5.0,7.0,300 Sq. M.,"Azaiba, Muscat",Villa
"1 Bedroom Apartment For Rent Bosher, Muscat",400,1.0,2.0,90 Sq. M.,"Bosher, Muscat",Apartment
"2 Bedrooms Apartment For Rent Ruwi, Muscat",180,2.0,2.0,95 Sq. M.,"Ruwi, Muscat",Apartment
"1 Bedroom Apartment For Rent in Al Khuwair, Muscat",250,1.0,1.0,70 Sq. M.,"Al Khuwair, Muscat",Apartment
"1 Bedroom Apartment For Rent Al Khuwair, Muscat",350,1.0,2.0,77 Sq. M.,"Al Khuwair, Muscat",Apartment
"5 Bedrooms Villa For Rent Al Mawaleh, Muscat",600,5.0,6.0,300 Sq. M.,"Al Maabilah, Muscat",Villa
"1 Bedroom Apartment For Rent Al Khuwair, Muscat",225,1.0,2.0,59 Sq. M.,"Al Khuwair, Muscat",Apartment
"2 Bedroom Villa For Rent in Saham, Al Batinah",90,2.0,2.0,80 Sq. M.,"Saham, Al Batinah",Villa
5 Bedroom Villa For Rent in Madinat As Sultan Qaboos Muscat,700,5.0,6.0,370 Sq. M.,Madinat As Sultan Qaboos Muscat,Villa
"3 Bedroom Chalet For Rent in Barka, Al Batinah",60,3.0,5.0,"1,500 Sq. M.","Barka, Al Batinah",Other
"5 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",799,5.0,6.0,349 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
"7 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat",1899,7.0,9.0,788 Sq. M.,"Qurum, Muscat",Villa
"2 Bedroom Apartment For Rent in The Wave (Almouj), Muscat",1199,2.0,3.0,145 Sq. M.,"The Wave (Almouj), Muscat",Apartment
"5 Bedrooms Villa For Rent Qurum, Muscat",799,5.0,5.0,435 Sq. M.,"Qurum, Muscat",Villa
5 Bedroom Villa For Rent Madinat As Sultan Qaboos Muscat,1700,5.0,6.0,300 Sq. M.,"Qurum, Muscat",Villa
3 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,430,3.0,3.0,300 Sq. M.,"Qurum, Muscat",Villa
"1 Bedroom Apartment For Rent Azaiba, Muscat",160,1.0,1.0,188 Sq. M.,"Al Khuwair, Muscat",Apartment
"2 Bedrooms Apartment For Rent Bosher, Muscat",300,2.0,2.0,90 Sq. M.,"Bosher, Muscat",Apartment
"2 Bedroom Apartment For Rent Barr Al Jissah, Muscat",1199,2.0,4.0,125 Sq. M.,"Qurum, Muscat",Apartment
"2 Bedrooms Chalet For Rent Barka, Al Batinah",65,2.0,5.0,"1,200 Sq. M.","Barka, Al Batinah",Other
"2 Bedrooms Chalet For Rent in Al Amarat, Muscat",50,2.0,2.0,600 Sq. M.,"Al Amarat, Muscat",Other
1 Bedroom Apartment For Rent Al Ghubrah Muscat,330,1.0,1.0,85 Sq. M.,"Al Ghubrah, Muscat",Apartment
2 Bedrooms Apartment For Rent Qurum Muscat,350,2.0,1.0,300 Sq. M.,"Qurum, Muscat",Apartment
"2 Bedroom Chalet For Rent in Barka, Al Batinah",50,2.0,3.0,140 Sq. M.,"Barka, Al Batinah",Other
"2 Bedrooms Apartment For Rent Al Maabilah, Muscat",120,2.0,3.0,100 Sq. M.,"Al Maabilah, Muscat",Apartment
"3 Bedroom Apartment For Rent Al Mawaleh, Muscat",950,3.0,3.0,210 Sq. M.,"Al Mawaleh, Muscat",Apartment
"6 Bedroom Villa For Rent Al Khuwair, Muscat",1100,6.0,6.0,615 Sq. M.,"Al Khuwair, Muscat",Villa
"6 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",1300,6.0,8.0,490 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
"5 Bedrooms Villa For Rent in Barr Al Jissah, Muscat",1800,5.0,6.0,500 Sq. M.,"Barr Al Jissah, Muscat",Villa
"3 Bedroom Apartment For Rent Ruwi, Muscat",600,3.0,3.0,32 Sq. M.,"Ruwi, Muscat",Apartment
"2 Bedroom Apartment For Rent in Madinat As Sultan Qaboos, Muscat",850,2.0,4.0,120 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Apartment
"1 Bedroom Apartment For Rent Taqah, Dhofar",60,1.0,1.0,65 Sq. M.,"Taqah, Dhofar",Apartment
"1 Bedroom Apartment For Rent Al Wadi Al Kabir, Muscat",140,1.0,1.0,70 Sq. M.,"Al Wadi Al Kabir, Muscat",Apartment
"2 Bedrooms Apartment For Rent in The Wave (Almouj), Muscat",700,2.0,2.0,129 Sq. M.,"The Wave (Almouj), Muscat",Apartment
1 Bedroom Apartment For Rent Muscat (The Wave - Almouj),700,1.0,2.0,10 Sq. M.,"Qurum, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Wadi Al Kabir, Muscat",200,2.0,3.0,125 Sq. M.,"Al Wadi Al Kabir, Muscat",Apartment
"1 Bedroom Apartment For Rent in Muscat Hills, Muscat",500,1.0,2.0,120 Sq. M.,"Muscat Hills, Muscat",Apartment
2 Bedroom Apartment For Rent Bosher Muscat,280,2.0,2.0,100 Sq. M.,"Bosher, Muscat",Apartment
2 Bedrooms Villa For Rent Muscat - Bosher,900,2.0,3.0,132 Sq. M.,"Bosher, Muscat",Villa
"4 Bedrooms Villa For Rent Qurum, Muscat",650,4.0,5.0,425 Sq. M.,"Qurum, Muscat",Villa
"2 Bedrooms Apartment For Rent Saham, Al Batinah",110,2.0,2.0,125 Sq. M.,"Saham, Al Batinah",Apartment
"5 Bedrooms Villa For Rent Bosher, Muscat",600,5.0,5.0,400 Sq. M.,"Al Khoud, Muscat",Villa
2 Bedrooms Apartment For Rent Darsait Muscat,175,2.0,3.0,110 Sq. M.,"Al Amarat, Muscat",Apartment
"4 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat",850,4.0,4.0,300 Sq. M.,"Qurum, Muscat",Villa
"1 Bedroom Apartment For Rent in Misfah, Muscat",100,1.0,2.0,70 Sq. M.,"Misfah, Muscat",Apartment
2 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),1250,2.0,3.0,240 Sq. M.,"Qurum, Muscat",Apartment
"1 Bedroom Apartment For Rent Al Mawaleh, Muscat",275,1.0,1.0,85 Sq. M.,"Al Mawaleh, Muscat",Apartment
"5 Bedroom Villa For Rent in Qantab, Muscat",1749,5.0,6.0,545 Sq. M.,"Qantab, Muscat",Villa
"4 Bedrooms Villa For Rent in Bosher, Muscat",650,4.0,4.0,300 Sq. M.,"Bosher, Muscat",Villa
"Land Residential For Rent Al Qabil, Al Sharqiya",6000,,,500 Sq. M.,"Al Qabil, Al Sharqiya",Other
4 Bedroom Villa For Rent The Wave (Almouj) Muscat,1299,4.0,4.0,330 Sq. M.,"Qurum, Muscat",Villa
"3 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat",750,3.0,5.0,275 Sq. M.,"Qurum, Muscat",Villa
4 Bedrooms Villa For Rent Muscat (The Wave (Almouj)),1299,4.0,4.0,330 Sq. M.,"Qurum, Muscat",Villa
"6 Bedroom Villa For Rent in Madinat As Sultan Qaboos, Muscat",2100,6.0,8.0,650 Sq. M.,"Madinat As Sultan Qaboos, Muscat",Villa
"3 Bedrooms Apartment For Rent Darsait, Muscat",230,3.0,3.0,90 Sq. M.,"Darsait, Muscat",Apartment
"4 Bedrooms Villa For Rent Al Maabilah, Muscat",380,4.0,5.0,290 Sq. M.,"Al Maabilah, Muscat",Villa
"1 Bedroom Apartment For Rent Al Khuwair, Muscat",220,1.0,1.0,25 Sq. M.,"Al Khuwair, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat",390,2.0,3.0,120 Sq. M.,"Al Ghubrah, Muscat",Apartment
Studio Apartment For Rent Al Hail - Muscat,160,,1.0,60 Sq. M.,"Al Hail, Muscat",Apartment
"1 Bedroom Apartment For Rent in The Wave (Almouj), Muscat",1350,1.0,2.0,140 Sq. M.,"The Wave (Almouj), Muscat",Apartment
"1 Bedroom Apartment For Rent Al Mawaleh, Muscat",500,1.0,,67 Sq. M.,"Al Mawaleh, Muscat",Apartment
"4 Bedroom Villa For Rent in The Wave (Almouj), Muscat",2500,4.0,5.0,333 Sq. M.,"The Wave (Almouj), Muscat",Villa
"Residential Land For Rent - Misfah, Muscat",900,,,"1,000 Sq. M.","Misfah, Muscat",Other
"1 Bedroom Apartment For Rent in Muscat Hills, Muscat",499,1.0,2.0,85 Sq. M.,"Muscat Hills, Muscat",Apartment
2 Bedrooms Apartment For Rent Al Khuwair Muscat,350,2.0,2.0,105 Sq. M.,"Al Khuwair, Muscat",Apartment
"5 Bedrooms Villa For Rent Al Amarat, Muscat",343,5.0,6.0,600 Sq. M.,"Al Amarat, Muscat",Villa
"2 Bedrooms Apartment For Rent Al Khoud, Muscat",240,2.0,3.0,115 Sq. M.,"Bosher, Muscat",Apartment
"3 Bedroom Apartment For Rent Bosher, Muscat",200,3.0,2.0,115 Sq. M.,"Al Ghubrah, Muscat",Apartment
"4 Bedrooms Villa For Rent in Azaiba, Muscat",800,4.0,6.0,300 Sq. M.,"Azaiba, Muscat",Villa
"1 Bedroom Apartment For Rent Qurum, Muscat",1300,1.0,2.0,80 Sq. M.,"Qurum, Muscat",Apartment
"1 Bedroom Apartment For Rent Qurum, Muscat",250,1.0,2.0,90 Sq. M.,"Qurum, Muscat",Apartment
"2 Bedrooms Apartment For Rent in Qurum, Muscat",325,2.0,3.0,110 Sq. M.,"Qurum, Muscat",Apartment
"2 Bedroom Apartment For Rent Al Mawaleh, Muscat",230,2.0,2.0,190 Sq. M.,"Al Mawaleh, Muscat",Apartment
"1 Bedroom Apartment For Rent Azaiba, Muscat",300,1.0,2.0,80 Sq. M.,"Azaiba, Muscat",Apartment
"3 Bedrooms Chalet For Rent Al Masn'a, Al Batinah",70,3.0,5.0,"1,800 Sq. M.","Al Masn'a, Al Batinah",Other
"1 Bedroom Apartment For Rent Azaiba, Muscat",175,1.0,1.0,20 Sq. M.,"Azaiba, Muscat",Apartment
5 Bedrooms Villa For Rent Qantab Muscat,1400,5.0,8.0,475 Sq. M.,"Qurum, Muscat",Villa
1 Bedroom Apartment For Rent Muscat - Al Wadi Al Kabir,160,1.0,2.0,150 Sq. M.,"Al Wadi Al Kabir, Muscat",Apartment
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat",120,2.0,2.0,"5,000 Sq. M.","Al Ghubrah, Muscat",Apartment
"2 Bedroom Apartment For Rent in The Wave (Almouj), Muscat",1200,2.0,3.0,146 Sq. M.,"The Wave (Almouj), Muscat",Apartment
1 Bedroom Apartment For Rent Al Khuwair Muscat,250,1.0,1.0,120 Sq. M.,"Al Khuwair, Muscat",Apartment
"5 Bedrooms Villa For Rent Qurum, Muscat",525,5.0,5.0,10 Sq. M.,"Qurum, Muscat",Villa
"2 Bedroom Apartment For Rent in The Wave (Almouj), Muscat",675,2.0,2.0,110 Sq. M.,"The Wave (Almouj), Muscat",Apartment
"5 Bedroom Apartment For Rent in Shinas, Al Batinah",100,5.0,5.0,270 Sq. M.,"Shinas, Al Batinah",Apartment
"2 Bedrooms Apartment For Rent Al Maabilah, Muscat",185,2.0,3.0,122 Sq. M.,"Al Maabilah, Muscat",Apartment
"1 Bedroom Apartment For Rent Al Hail, Muscat",325,1.0,1.0,64 Sq. M.,"Al Hail, Muscat",Apartment
3 Bedrooms Apartment For Rent Muscat (The Wave (Almouj)),850,3.0,2.0,115 Sq. M.,"Qurum, Muscat",Apartment
"6 Bedroom Villa For Rent in Al Ghubrah, Muscat",1200,6.0,7.0,515 Sq. M.,"Al Ghubrah, Muscat",Villa
"4 Bedroom Villa For Rent in Barr Al Jissah, Muscat",1750,4.0,,770 Sq. M.,"Barr Al Jissah, Muscat",Villa
"4 Bedroom Villa For Rent Madinat As Sultan Qaboos, Muscat",650,4.0,6.0,450 Sq. M.,"Qurum, Muscat",Villa
